Node_Index,Grid_Z_m,Coord_Xi,Psi_M_Modal,Psi_W_Modal,Psi_T_Modal,Psi_M_Height,Psi_W_Height,Psi_T_Height
0,55.0,1.0,0.9933071490757152,0.006692850910489849,1.3794994660476512e-11,0.9975273768433652,0.002472607926655268,1.5229979499764568e-8
1,54.99121665748834,0.9951847266721969,0.9655548043337888,0.03444519529031912,3.758920605334559e-10,0.9975186959999767,0.002481288716441654,1.5283581678016134e-8
2,54.96367201878441,0.9807852804032304,0.8411308951190848,0.15886909570185834,9.179056875696645e-9,0.9974912751541793,0.0025087093929156423,1.5452905011148488e-8
3,54.91353627834067,0.9569403357322088,0.5,0.49999984704888656,1.5295111344126866e-7,0.9974405866466196,0.002559397587449941,1.5765930450051258e-8
4,54.83354638158876,0.9238795325112867,0.15886910488091516,0.8411295328283915,1.3622906932519996e-6,0.9973575914771742,0.0026423922442924686,1.627853335461893e-8
5,54.711462876193124,0.881921264348355,0.03444519566621118,0.9655465248311376,8.279502651253878e-6,0.9972257179555377,0.0027742649512632056,1.7093199078388466e-8
6,54.52741985509667,0.8314696123025452,0.006692850924284843,0.9932620550481802,4.509402753494207e-5,0.9970144103008705,0.0029855713001007977,1.839902874500865e-8
7,54.24959018203458,0.773010453362737,0.0012710162630813482,0.998488977464195,0.0002400062727236918,0.9966646478056709,0.0033353316326368843,2.0561692237741624e-8
8,53.82736230384051,0.7071067811865476,0.00024031171281890806,0.998488977464195,0.001270710822986132,0.9960533941022176,0.003946581552918715,2.4344863680525464e-8
9,53.18118029316504,0.6343932841636455,4.539786870244589e-5,0.9932620550481802,0.006692547083117284,0.9948952811873997,0.0051046872871965965,3.152540373196899e-8
10,52.188931463743415,0.5555702330196023,8.574865573707235e-6,0.9655465248311376,0.03444490030328873,0.9924270632620428,0.007572889853172449,4.6884784776768385e-8
11,50.67172404194036,0.4713967368259978,1.6195941692220828e-6,0.8411295328283915,0.15886884757743924,0.9861931804279117,0.01380673355240597,8.601968232158086e-8
12,48.389620000171746,0.38268343236508984,3.0590222693804847e-7,0.49999984704888656,0.49999984704888656,0.9662958149886116,0.0337039707026619,2.1430872648720012e-7
13,45.07180241720975,0.29028467725446233,5.777748185442633e-8,0.15886909570185834,0.8411308465206597,0.883779768961945,0.11621942305259603,8.07985458983751e-7
14,40.51614696735825,0.19509032201612833,1.0912757253400684e-8,0.03444519529031912,0.9655547937969237,0.5514321341771251,0.4485628677781898,4.99804468506726e-6
15,34.76396827422545,0.09801714032956077,2.0611536366565986e-9,0.006692850910489849,0.9933071470283564,0.10964106537787816,0.8903090419892312,4.989263289068013e-5
16,28.250000000000004,6.123233995736766e-17,3.8930164647510423e-10,0.0012710162625865393,0.9987289833481118,0.009013298652847834,0.9903116186165193,0.0006750827306328255
17,21.73603172577456,-0.09801714032956065,7.352957132056304e-11,0.00024031171280123803,0.9997596882136691,0.0006713238772320107,0.9902653341361289,0.009063341986639106
18,15.983853032641749,-0.1950903220161282,1.3887946348489777e-11,4.53978687018154e-5,0.9999546021174102,6.728817265611031e-5,0.9162661727355188,0.08366653909182509
19,11.42819758279025,-0.29028467725446216,2.623068429130626e-12,8.574865573684743e-6,0.9999914251318033,1.0878395005020636e-5,0.6390473745589563,0.36094174704603865
20,8.110379999828261,-0.3826834323650897,4.954370247389761e-13,1.6195941692212804e-6,0.9999983804053354,2.885388844964254e-6,0.31954550292985706,0.680451611681298
21,5.828275958059642,-0.4713967368259977,9.35918009759007e-14,3.0590222693801983e-7,0.9999996940976795,1.1581452268316639e-6,0.1585978070074303,0.8414010348473429
22,4.311068536256588,-0.555570233019602,1.765254609153999e-14,5.777748185442531e-8,0.9999999422225005,6.312440912759065e-7,0.09316570489729992,0.9068336638586089
23,3.318819706834958,-0.6343932841636454,3.3306690738754696e-15,1.0912757253400648e-8,0.9999999890872394,4.2444961034782125e-7,0.06461696357196178,0.9353826119784279
24,2.672637696159491,-0.7071067811865475,6.106226635438361e-16,2.0611536366565973e-9,0.9999999979388458,3.277727679273923e-7,0.050644546063416285,0.9493551261638158
25,2.2504098179654157,-0.773010453362737,1.1102230246251565e-16,3.893016464751042e-10,0.9999999996106983,2.7683716663506885e-7,0.04311374044608518,0.9568859827167482
26,1.9725801449033291,-0.8314696123025453,0.0,7.352957132056304e-11,0.9999999999264704,2.477196460182185e-7,0.03875481179116591,0.9612449404891881
27,1.7885371238068792,-0.8819212643483549,0.0,1.3887946348489777e-11,0.999999999986112,2.3013830546814162e-7,0.03610358166005723,0.9638961882016372
28,1.6664536184112357,-0.9238795325112867,0.0,2.623068429130626e-12,0.999999999997377,2.191698642572959e-7,0.03444214232352816,0.9655576385066076
29,1.586463721659328,-0.9569403357322088,0.0,4.954370247389761e-13,0.9999999999995046,2.1226831542486835e-7,0.033393794582976644,0.966605993148708
30,1.5363279812155923,-0.9807852804032304,0.0,9.35918009759007e-14,0.9999999999999064,2.080538252235975e-7,0.03275249173115835,0.9672473002150164
31,1.5087833425116663,-0.9951847266721968,0.0,1.765254609153999e-14,0.9999999999999823,2.0577410064781532e-7,0.03240523998360967,0.9675945542422897
32,1.5,-1.0,0.0,3.3306690738754696e-15,0.9999999999999967,2.0505241549173547e-7,0.03229525964603508,0.9677045353015494
